City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,kailua-kona,19.6406,-155.9956,23.98,90,40,1.54,US,1717949597
336,moapa valley,36.5805,-114.4703,33.71,11,68,5.56,US,1717949657
337,plymouth,41.8334,-70.8328,20.09,86,100,5.14,US,1717949581
338,saint-junien,45.8833,0.9,19.91,56,100,2.78,FR,1717949658
339,soio,-6.1349,12.3689,24.51,75,33,3.87,AO,1717949659
340,shiyan,32.6475,110.7781,20.92,83,29,2.54,CN,1717949659
341,salalah,17.0151,54.0924,31.05,84,75,3.6,OM,1717949660
342,mount gambier,-37.8333,140.7667,5.31,93,68,1.77,AU,1717949660
343,alofi,-19.0595,-169.9187,21.94,73,100,4.63,NU,1717949660
344,el matama,16.7095,33.3565,40.36,19,19,6.42,SD,1717949661
345,gamay,12.3854,125.2979,25.68,92,51,1.31,PH,1717949661
346,bath,51.3779,-2.3591,17.64,71,95,5.5,GB,1717949420
347,touros,-5.1989,-35.4608,28.54,74,75,7.27,BR,1717949454
348,waiuku,-37.25,174.75,17.4,94,100,3.47,NZ,1717949663
349,inhambane,-23.865,35.3833,19.73,63,39,5.74,MZ,1717949663
350,kosigi,15.85,77.2667,25.07,74,100,7.77,IN,1717949663
351,byalynichy,53.9983,29.7126,15.62,90,94,5.33,BY,1717949664
352,rouissat,31.9243,5.3502,42.14,9,100,4.65,DZ,1717949664
353,gao,16.6362,1.637,43.24,11,1,1.25,ML,1717949665
354,singaraja,-8.112,115.0882,26.95,87,23,1.68,ID,1717949448
355,wenling,28.3669,121.36,21.37,98,96,1.04,CN,1717949666
356,chul'man,56.8479,124.9104,8.49,91,100,0.89,RU,1717949666
357,bashmakovo,53.2133,43.0342,19.4,81,7,2.64,RU,1717949526
358,la'ie,21.6477,-157.9253,25.98,78,9,1.79,US,1717949667
359,buncrana,55.1333,-7.45,10.87,97,100,2.07,IE,1717949667
360,tshabong,-26.05,22.45,15.41,35,0,4.81,BW,1717949668
361,yuzhno-kurilsk,44.0306,145.8556,11.32,93,99,4.06,RU,1717949668
362,saint-leu,-21.15,55.2833,22.48,79,23,6.87,RE,1717949669
